num,P1|P2|P3|P5|P4|P6|P7|P8|,reachability
192,11000000,1
32,00100000,1
16,00010000,1
8,00001000,1
4,00000100,1
2,00000010,1
1,00000001,1
255,11111111,0
254,11111110,0
253,11111101,0
252,11111100,0
251,11111011,0
250,11111010,0
249,11111001,0
248,11111000,0
247,11110111,0
246,11110110,0
245,11110101,0
244,11110100,0
243,11110011,0
242,11110010,0
241,11110001,0
240,11110000,0
239,11101111,0
238,11101110,0
237,11101101,0
236,11101100,0
235,11101011,0
234,11101010,0
233,11101001,0
232,11101000,0
231,11100111,0
230,11100110,0
229,11100101,0
228,11100100,0
227,11100011,0
226,11100010,0
225,11100001,0
224,11100000,0
223,11011111,0
222,11011110,0
221,11011101,0
220,11011100,0
219,11011011,0
218,11011010,0
217,11011001,0
216,11011000,0
215,11010111,0
214,11010110,0
213,11010101,0
212,11010100,0
211,11010011,0
210,11010010,0
209,11010001,0
208,11010000,0
207,11001111,0
206,11001110,0
205,11001101,0
204,11001100,0
203,11001011,0
202,11001010,0
201,11001001,0
200,11001000,0
199,11000111,0
198,11000110,0
197,11000101,0
196,11000100,0
195,11000011,0
194,11000010,0
193,11000001,0
191,10111111,0
190,10111110,0
189,10111101,0
188,10111100,0
187,10111011,0
186,10111010,0
185,10111001,0
184,10111000,0
183,10110111,0
182,10110110,0
181,10110101,0
180,10110100,0
179,10110011,0
178,10110010,0
177,10110001,0
176,10110000,0
175,10101111,0
174,10101110,0
173,10101101,0
172,10101100,0
171,10101011,0
170,10101010,0
169,10101001,0
168,10101000,0
167,10100111,0
166,10100110,0
165,10100101,0
164,10100100,0
163,10100011,0
162,10100010,0
161,10100001,0
160,10100000,0
159,10011111,0
158,10011110,0
157,10011101,0
156,10011100,0
155,10011011,0
154,10011010,0
153,10011001,0
152,10011000,0
151,10010111,0
150,10010110,0
149,10010101,0
148,10010100,0
147,10010011,0
146,10010010,0
145,10010001,0
144,10010000,0
143,10001111,0
142,10001110,0
141,10001101,0
140,10001100,0
139,10001011,0
138,10001010,0
137,10001001,0
136,10001000,0
135,10000111,0
134,10000110,0
133,10000101,0
132,10000100,0
131,10000011,0
130,10000010,0
129,10000001,0
128,10000000,0
127,01111111,0
126,01111110,0
125,01111101,0
124,01111100,0
123,01111011,0
122,01111010,0
121,01111001,0
120,01111000,0
119,01110111,0
118,01110110,0
117,01110101,0
116,01110100,0
115,01110011,0
114,01110010,0
113,01110001,0
112,01110000,0
111,01101111,0
110,01101110,0
109,01101101,0
108,01101100,0
107,01101011,0
106,01101010,0
105,01101001,0
104,01101000,0
103,01100111,0
102,01100110,0
101,01100101,0
100,01100100,0
99,01100011,0
98,01100010,0
97,01100001,0
96,01100000,0
95,01011111,0
94,01011110,0
93,01011101,0
92,01011100,0
91,01011011,0
90,01011010,0
89,01011001,0
88,01011000,0
87,01010111,0
86,01010110,0
85,01010101,0
84,01010100,0
83,01010011,0
82,01010010,0
81,01010001,0
80,01010000,0
79,01001111,0
78,01001110,0
77,01001101,0
76,01001100,0
75,01001011,0
74,01001010,0
73,01001001,0
72,01001000,0
71,01000111,0
70,01000110,0
69,01000101,0
68,01000100,0
67,01000011,0
66,01000010,0
65,01000001,0
64,01000000,0
63,00111111,0
62,00111110,0
61,00111101,0
60,00111100,0
59,00111011,0
58,00111010,0
57,00111001,0
56,00111000,0
55,00110111,0
54,00110110,0
53,00110101,0
52,00110100,0
51,00110011,0
50,00110010,0
49,00110001,0
48,00110000,0
47,00101111,0
46,00101110,0
45,00101101,0
44,00101100,0
43,00101011,0
42,00101010,0
41,00101001,0
40,00101000,0
39,00100111,0
38,00100110,0
37,00100101,0
36,00100100,0
35,00100011,0
34,00100010,0
33,00100001,0
31,00011111,0
30,00011110,0
29,00011101,0
28,00011100,0
27,00011011,0
26,00011010,0
25,00011001,0
24,00011000,0
23,00010111,0
22,00010110,0
21,00010101,0
20,00010100,0
19,00010011,0
18,00010010,0
17,00010001,0
15,00001111,0
14,00001110,0
13,00001101,0
12,00001100,0
11,00001011,0
10,00001010,0
9,00001001,0
7,00000111,0
6,00000110,0
5,00000101,0
3,00000011,0
0,00000000,0
